,index,brand_x,model,year,price,currency,kilometers_driven,transmission_type,pay_per_month_value,pay_per_month_unit,brand_y,original_country
159,31,Mitsubishi,PAJERO_SPORT_GT_PREMIUM_ELITE_EDITION_2.4,2021,1186900,THB,59604,Automatic,19685,THB/MONTH,Honda,Japan
160,32,Mitsubishi,PAJERO_SPORT_GT_PREMIUM_ELITE_EDITION_2.4,2021,1162900,THB,59604,Automatic,19287,THB/MONTH,Mitsubishi,Japan
161,32,Mitsubishi,PAJERO_SPORT_GT_PREMIUM_ELITE_EDITION_2.4,2021,1162900,THB,59604,Automatic,19287,THB/MONTH,Mitsubishi,Japan
162,32,Mitsubishi,PAJERO_SPORT_GT_PREMIUM_ELITE_EDITION_2.4,2021,1162900,THB,59604,Automatic,19287,THB/MONTH,Mitsubishi,Japan
163,32,Mitsubishi,PAJERO_SPORT_GT_PREMIUM_ELITE_EDITION_2.4,2021,1186900,THB,59604,Automatic,19685,THB/MONTH,Mitsubishi,Japan
164,32,Honda,ACCORD_E_2.0,2017,660900,THB,106842,Automatic,10961,THB/MONTH,Mitsubishi,Japan
165,33,Honda,ACCORD_E_2.0,2017,647900,THB,106842,Automatic,10745,THB/MONTH,Honda,Japan
166,33,Honda,ACCORD_E_2.0,2017,647900,THB,106842,Automatic,10745,THB/MONTH,Honda,Japan
167,33,Honda,ACCORD_E_2.0,2017,647900,THB,106842,Automatic,10745,THB/MONTH,Honda,Japan
168,33,Honda,ACCORD_E_2.0,2017,660900,THB,106842,Automatic,10961,THB/MONTH,Honda,Japan
169,33,MG,HS_X_SUNROOF_1.5,2020,659900,THB,77501,Automatic,10944,THB/MONTH,Honda,Japan
170,34,Toyota,HILUX_VIGO_DOUBLE_CAB_G_2.5,2014,371900,THB,131398,Manual,6168,THB/MONTH,Toyota,Japan
171,34,Toyota,HILUX_VIGO_DOUBLE_CAB_G_2.5,2014,371900,THB,131398,Manual,6168,THB/MONTH,Toyota,Japan
172,34,Toyota,HILUX_VIGO_DOUBLE_CAB_G_2.5,2014,371900,THB,131398,Manual,6168,THB/MONTH,Toyota,Japan
173,34,MG,HS_X_SUNROOF_1.5,2020,659900,THB,77501,Automatic,10944,THB/MONTH,Toyota,Japan
174,34,Toyota,HILUX_VIGO_DOUBLE_CAB_G_2.5,2014,379900,THB,131398,Manual,6301,THB/MONTH,Toyota,Japan
175,35,Nissan,TEANA_250_XV_NAVIGATION_2.5,2018,650900,THB,120482,Automatic,10795,THB/MONTH,Nissan,Japan
176,35,Nissan,TEANA_250_XV_NAVIGATION_2.5,2018,650900,THB,120482,Automatic,10795,THB/MONTH,Nissan,Japan
177,35,Nissan,TEANA_250_XV_NAVIGATION_2.5,2018,650900,THB,120482,Automatic,10795,THB/MONTH,Nissan,Japan
178,35,Toyota,HILUX_VIGO_DOUBLE_CAB_G_2.5,2014,379900,THB,131398,Manual,6301,THB/MONTH,Nissan,Japan
179,35,Nissan,TEANA_250_XV_NAVIGATION_2.5,2018,663900,THB,120482,Automatic,11011,THB/MONTH,Nissan,Japan
180,36,MG,HS_X_SUNROOF_1.5,2020,646900,THB,13447,Automatic,10729,THB/MONTH,MG,China
181,36,MG,HS_X_SUNROOF_1.5,2020,646900,THB,13447,Automatic,10729,THB/MONTH,MG,China
182,36,MG,HS_X_SUNROOF_1.5,2020,646900,THB,13447,Automatic,10729,THB/MONTH,MG,China
183,36,Nissan,TEANA_250_XV_NAVIGATION_2.5,2018,663900,THB,120482,Automatic,11011,THB/MONTH,MG,China
184,36,MG,HS_X_SUNROOF_1.5,2020,659900,THB,13447,Automatic,10944,THB/MONTH,MG,China
185,37,MG,ZS_EV,2019,647900,THB,39441,Automatic,10745,THB/MONTH,MG,China
186,37,MG,ZS_EV,2019,647900,THB,39441,Automatic,10745,THB/MONTH,MG,China
187,37,MG,ZS_EV,2019,647900,THB,39441,Automatic,10745,THB/MONTH,MG,China
188,37,MG,HS_X_SUNROOF_1.5,2020,659900,THB,13447,Automatic,10944,THB/MONTH,MG,China
189,37,MG,ZS_EV,2019,660900,THB,39441,Automatic,10961,THB/MONTH,MG,China
190,38,MG,HS_X_SUNROOF_1.5,2020,646900,THB,14108,Automatic,10729,THB/MONTH,MG,China
191,38,MG,HS_X_SUNROOF_1.5,2020,646900,THB,14108,Automatic,10729,THB/MONTH,MG,China
192,38,MG,HS_X_SUNROOF_1.5,2020,646900,THB,14108,Automatic,10729,THB/MONTH,MG,China
193,38,MG,ZS_EV,2019,660900,THB,39441,Automatic,10961,THB/MONTH,MG,China
194,38,MG,HS_X_SUNROOF_1.5,2020,659900,THB,14108,Automatic,10944,THB/MONTH,MG,China
195,39,Toyota,HILUX_VIGO_DOUBLE_CAB_G_2.5,2013,357900,THB,152659,Manual,5936,THB/MONTH,Toyota,Japan
196,39,Toyota,HILUX_VIGO_DOUBLE_CAB_G_2.5,2013,357900,THB,152659,Manual,5936,THB/MONTH,Toyota,Japan
197,39,Toyota,HILUX_VIGO_DOUBLE_CAB_G_2.5,2013,357900,THB,152659,Manual,5936,THB/MONTH,Toyota,Japan
198,39,MG,HS_X_SUNROOF_1.5,2020,659900,THB,14108,Automatic,10944,THB/MONTH,Toyota,Japan
199,39,Toyota,HILUX_VIGO_DOUBLE_CAB_G_2.5,2013,365900,THB,152659,Manual,6068,THB/MONTH,Toyota,Japan
200,40,MG,HS_X_SUNROOF_1.5,2019,622900,THB,65248,Automatic,10331,THB/MONTH,MG,China
201,40,MG,HS_X_SUNROOF_1.5,2019,622900,THB,65248,Automatic,10331,THB/MONTH,MG,China
202,40,MG,HS_X_SUNROOF_1.5,2019,622900,THB,65248,Automatic,10331,THB/MONTH,MG,China
203,40,Toyota,HILUX_VIGO_DOUBLE_CAB_G_2.5,2013,365900,THB,152659,Manual,6068,THB/MONTH,MG,China
204,40,MG,HS_X_SUNROOF_1.5,2019,635900,THB,65248,Automatic,10546,THB/MONTH,MG,China
205,41,Toyota,C-HR_ENTRY_1.8,2018,627900,THB,90710,Automatic,10414,THB/MONTH,Toyota,Japan
206,41,Toyota,C-HR_ENTRY_1.8,2018,627900,THB,90710,Automatic,10414,THB/MONTH,Toyota,Japan
207,41,Toyota,C-HR_ENTRY_1.8,2018,627900,THB,90710,Automatic,10414,THB/MONTH,Toyota,Japan
208,41,MG,HS_X_SUNROOF_1.5,2019,635900,THB,65248,Automatic,10546,THB/MONTH,Toyota,Japan
209,41,Toyota,C-HR_ENTRY_1.8,2018,640900,THB,90710,Automatic,10629,THB/MONTH,Toyota,Japan
210,42,Toyota,C-HR_MID_1.8,2018,625900,THB,122434,Automatic,10381,THB/MONTH,Toyota,Japan
211,42,Toyota,C-HR_MID_1.8,2018,625900,THB,122434,Automatic,10381,THB/MONTH,Toyota,Japan
212,42,Toyota,C-HR_MID_1.8,2018,625900,THB,122434,Automatic,10381,THB/MONTH,Toyota,Japan
213,42,Toyota,C-HR_ENTRY_1.8,2018,640900,THB,90710,Automatic,10629,THB/MONTH,Toyota,Japan
214,42,Toyota,C-HR_MID_1.8,2018,638900,THB,122434,Automatic,10596,THB/MONTH,Toyota,Japan
215,43,Mazda,CX-5_S_2.0,2017,611900,THB,106138,Automatic,10148,THB/MONTH,Mazda,Japan
216,43,Mazda,CX-5_S_2.0,2017,611900,THB,106138,Automatic,10148,THB/MONTH,Mazda,Japan
217,43,Mazda,CX-5_S_2.0,2017,611900,THB,106138,Automatic,10148,THB/MONTH,Mazda,Japan
218,43,Toyota,C-HR_MID_1.8,2018,638900,THB,122434,Automatic,10596,THB/MONTH,Mazda,Japan
219,43,Mazda,CX-5_S_2.0,2017,624900,THB,106138,Automatic,10364,THB/MONTH,Mazda,Japan
220,44,Honda,CIVIC_EL_1.8,2017,605900,THB,169608,Automatic,10049,THB/MONTH,Honda,Japan
