,brand,model,year,price,currency,pay_per_month,kilometers_driven,transmission_type
159,Mitsubishi,ATTRAGE_GLX_1.2,2018,313900,บาท,5206 บาท /เดือน,98281,Automatic
160,Toyota,YARIS_ATIV_S_1.2,2018,434900,บาท,7213 บาท /เดือน,113613,Automatic
161,Ford,EVEREST_TITANIUM+_4WD_2.0,2018,1071900,บาท,17777 บาท /เดือน,93501,Automatic
162,Mitsubishi,PAJERO_SPORT_GT_PREMIUM_2WD_2.4,2019,999900,บาท,16583 บาท /เดือน,102775,Automatic
163,Toyota,HILUX_REVO_DOUBLE_CAB_E_PRERUNNER_2.4,2019,633900,บาท,10513 บาท /เดือน,98518,Automatic
164,Toyota,YARIS_G+_1.2,2019,453900,บาท,7528 บาท /เดือน,93797,Automatic
165,Mazda,BT-50_PRO_FREESTYLE_CAB_HI-RACER_(ABS)_2.2,2018,404900,บาท,6715 บาท /เดือน,69535,เกียร์ธรรมดา
166,Suzuki,SWIFT_GLX_NAVI_1.2,2018,435900,บาท,7229 บาท /เดือน,88167,Automatic
167,Toyota,INNOVA_CRYSTA_G_2.8,2018,697900,บาท,11575 บาท /เดือน,73460,Automatic
168,Toyota,VIOS_E_1.5,2018,403900,บาท,6699 บาท /เดือน,124144,Automatic
169,Toyota,VIOS_MID_1.5,2019,453900,บาท,7528 บาท /เดือน,84357,Automatic
170,Honda,CIVIC_E_1.8,2019,660900,บาท,10961 บาท /เดือน,86616,Automatic
171,Honda,CITY_SV_1.5,2017,480900,บาท,7976 บาท /เดือน,179813,Automatic
172,Honda,CIVIC_EL_1.8,2019,718900,บาท,11923 บาท /เดือน,115125,Automatic
173,Toyota,C-HR_MID_1.8,2019,730900,บาท,12122 บาท /เดือน,97864,Automatic
174,Mazda,3_S_SPORTS_2.0,2014,412900,บาท,6848 บาท /เดือน,112371,Automatic
175,MG,MG3_X_SUNROOF_1.5,2018,317900,บาท,5272 บาท /เดือน,97456,Automatic
176,Toyota,HILUX_REVO_DOUBLE_CAB_E_PLUS_PRERUNNER_2.4,2018,630900,บาท,10463 บาท /เดือน,104770,Automatic
177,Mazda,BT-50_PRO_FREESTYLE_CAB_HI-RACER_2.2,2019,373900,บาท,6201 บาท /เดือน,111092,เกียร์ธรรมดา
178,Ford,RANGER_RAPTOR_DOUBLE_CAB_BI-TURBO_4WD_2.0,2018,1152900,บาท,19121 บาท /เดือน,133634,Automatic
179,Ford,RANGER_DOUBLE_CAB_HI-RIDER_XLT_2.2,2018,551900,บาท,9153 บาท /เดือน,108985,Automatic
180,Mitsubishi,MIRAGE_GLX_1.2,2019,340900,บาท,5654 บาท /เดือน,60081,Automatic
181,Honda,MOBILIO_RS_1.5,2017,478900,บาท,7943 บาท /เดือน,140335,Automatic
182,Nissan,TEANA_200_XL_NAVI_2.0,2014,498900,บาท,8274 บาท /เดือน,150716,Automatic
